Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,bool_Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,bool_Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type_Private,School_Type_Public,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,numeric_Parental_Education_Level,Distance_from_Home,numeric_Distance_from_Home,Gender,Exam_Score,numeric_Parental_Involvement,numeric_Access_to_Resources,numeric_Motivation_Level,numeric_Family_Income,numeric_Teacher_Quality,numeric_Peer_Influence,numeric_Learning_Disabilities
27,99,High,Medium,No,False,7,53,Low,Yes,True,2,Low,High,False,True,Neutral,3,No,College,1,Near,0,Male,73,2,1,0,0,2,0,False
28,92,Low,High,No,False,5,96,High,Yes,True,1,Medium,Low,False,True,Neutral,3,No,College,1,Moderate,1,Male,72,0,2,2,1,0,0,False
19,78,Medium,Medium,No,False,7,55,Low,Yes,True,0,Medium,Medium,False,True,Positive,3,No,College,1,Near,0,Male,65,1,1,0,1,1,1,False
7,96,Medium,High,No,False,9,91,Medium,Yes,True,0,Low,Medium,False,True,Neutral,4,No,College,1,Near,0,Male,67,1,2,1,0,1,0,False
28,81,High,Medium,Yes,True,8,73,Low,Yes,True,0,Medium,High,False,True,Negative,3,No,Postgraduate,2,Near,0,Male,70,2,1,0,1,2,-1,False
20,79,High,Medium,No,False,8,53,Medium,Yes,True,2,Medium,Medium,True,False,Neutral,3,No,High School,0,Moderate,1,Female,66,2,1,1,1,1,0,False
14,78,High,High,Yes,True,8,80,Low,Yes,True,1,Medium,Medium,False,True,Neutral,1,No,High School,0,Near,0,Female,66,2,2,0,1,1,0,False
17,91,Medium,Low,Yes,True,7,62,Low,Yes,True,3,High,Medium,False,True,Negative,3,No,Postgraduate,2,Near,0,Male,68,1,0,0,2,1,-1,False
25,81,Low,Medium,Yes,True,8,59,Low,Yes,True,3,Low,Medium,False,True,Positive,4,No,College,1,Near,0,Male,68,0,1,0,0,1,1,False
23,73,High,High,No,False,8,78,Low,Yes,True,0,High,Medium,False,True,Neutral,4,No,High School,0,Moderate,1,Female,67,2,2,0,2,1,0,False
19,70,High,Medium,Yes,True,8,68,High,No,False,1,Low,Medium,False,True,Positive,3,No,College,1,Near,0,Female,65,2,1,2,0,1,1,False
18,62,Medium,Low,Yes,True,8,87,Medium,Yes,True,4,Low,Medium,False,True,Positive,4,No,College,1,Near,0,Female,64,1,0,1,0,1,1,False
18,83,High,Medium,No,False,5,80,High,Yes,True,1,High,High,False,True,Positive,2,No,College,1,Near,0,Male,70,2,1,2,2,2,1,False
14,69,Low,Medium,No,False,5,91,Medium,Yes,True,0,High,Medium,False,True,Positive,3,No,College,1,Moderate,1,Male,63,0,1,1,2,1,1,False
30,66,Medium,High,No,False,6,53,Low,No,False,2,Low,Medium,False,True,Positive,2,No,High School,0,Near,0,Male,65,1,2,0,0,1,1,False
18,86,Low,Medium,Yes,True,9,62,Medium,Yes,True,4,Medium,Medium,False,True,Negative,2,Yes,Postgraduate,2,Near,0,Female,67,0,1,1,1,1,-1,True
27,87,Medium,Medium,Yes,True,7,78,Low,Yes,True,3,Low,Medium,True,False,Negative,5,No,High School,0,Near,0,Female,71,1,1,0,0,1,-1,False
29,90,High,Medium,Yes,True,7,94,Medium,Yes,True,1,Low,Low,True,False,Neutral,4,No,High School,0,Near,0,Female,73,2,1,1,0,0,0,False
26,80,Medium,Medium,No,False,4,91,Low,Yes,True,1,Low,Medium,True,False,Neutral,3,No,High School,0,Far,2,Male,67,1,1,0,0,1,0,False
17,96,High,Medium,Yes,True,7,84,Medium,Yes,True,2,Low,High,True,False,Positive,3,No,College,1,Near,0,Female,72,2,1,1,0,2,1,False
22,97,Medium,Medium,No,False,7,79,High,Yes,True,2,Medium,High,False,True,Positive,0,No,High School,0,Far,2,Male,71,1,1,2,1,2,1,False
20,92,Medium,High,Yes,True,4,82,High,Yes,True,0,Medium,Medium,False,True,Neutral,4,No,Postgraduate,2,Near,0,Male,72,1,2,2,1,1,0,False
15,85,High,High,Yes,True,7,61,Medium,Yes,True,1,Medium,High,False,True,Negative,3,No,High School,0,Near,0,Male,68,2,2,1,1,2,-1,False
22,72,Low,Low,Yes,True,5,80,Medium,Yes,True,2,Low,High,False,True,Neutral,3,No,College,1,Near,0,Female,65,0,0,1,0,2,0,False
13,99,High,Medium,No,False,6,75,Low,Yes,True,1,Medium,Medium,False,True,Positive,4,Yes,College,1,Far,2,Female,68,2,1,0,1,1,1,True
27,71,Medium,Low,No,False,8,69,Medium,Yes,True,1,High,Medium,False,True,Positive,4,No,College,1,Near,0,Male,67,1,0,1,2,1,1,False
17,68,Medium,Medium,No,False,7,94,High,Yes,True,1,High,Medium,True,False,Neutral,4,No,College,1,Moderate,1,Female,66,1,1,2,2,1,0,False
21,78,Medium,Low,Yes,True,6,91,Medium,Yes,True,0,Medium,Low,True,False,Neutral,1,Yes,High School,0,Near,0,Male,64,1,0,1,1,0,0,True
22,62,High,Medium,No,False,6,54,Medium,Yes,True,3,Low,Medium,True,False,Neutral,3,No,Postgraduate,2,Near,0,Male,65,2,1,1,0,1,0,False
18,99,Medium,Medium,No,False,6,99,Medium,Yes,True,0,Low,Medium,False,True,Neutral,3,No,High School,0,Moderate,1,Male,69,1,1,1,0,1,0,False
24,84,Medium,Medium,Yes,True,7,61,Medium,Yes,True,2,Medium,Medium,False,True,Positive,2,No,High School,0,Far,2,Male,68,1,1,1,1,1,1,False
17,82,High,High,No,False,5,61,Medium,Yes,True,3,Medium,Medium,False,True,Neutral,4,No,Postgraduate,2,Near,0,Male,69,2,2,1,1,1,0,False
25,86,Medium,Medium,Yes,True,9,97,Low,Yes,True,1,High,Medium,True,False,Neutral,3,No,High School,0,Moderate,1,Male,70,1,1,0,2,1,0,False
12,80,High,Medium,No,False,5,72,Medium,Yes,True,1,High,Medium,True,False,Positive,4,Yes,High School,0,Near,0,Female,65,2,1,1,2,1,1,True
21,61,Medium,Medium,No,False,4,90,Low,Yes,True,2,Medium,Low,False,True,Neutral,3,No,High School,0,Near,0,Male,63,1,1,0,1,0,0,False
32,84,Low,Medium,Yes,True,8,64,Medium,Yes,True,1,Low,High,True,False,Positive,3,No,College,1,Near,0,Female,71,0,1,1,0,2,1,False
14,89,Medium,High,Yes,True,6,94,Low,Yes,True,0,Low,Medium,True,False,Neutral,2,No,Postgraduate,2,Near,0,Male,68,1,2,0,0,1,0,False
16,77,Medium,Medium,Yes,True,7,92,High,Yes,True,5,Low,High,False,True,Positive,3,No,Postgraduate,2,Near,0,Female,70,1,1,2,0,2,1,False
23,90,Medium,High,Yes,True,8,76,High,Yes,True,2,Medium,Low,False,True,Positive,3,No,High School,0,Near,0,Female,72,1,2,2,1,0,1,False
21,69,Medium,Medium,Yes,True,6,85,Medium,Yes,True,3,Low,Low,False,True,Neutral,1,No,College,1,Far,2,Female,64,1,1,1,0,0,0,False
22,69,Low,Medium,No,False,7,98,Low,Yes,True,0,Low,Medium,False,True,Positive,2,No,Postgraduate,2,Moderate,1,Male,64,0,1,0,0,1,1,False
23,66,Medium,Low,Yes,True,8,73,High,Yes,True,2,High,Medium,False,True,Positive,2,No,College,1,Near,0,Female,66,1,0,2,2,1,1,False
24,75,Medium,High,Yes,True,9,75,High,Yes,True,0,Medium,High,False,True,Positive,3,No,College,1,Far,2,Male,69,1,2,2,1,2,1,False
27,94,Medium,Low,No,False,6,86,Medium,Yes,True,2,Medium,Medium,True,False,Neutral,2,No,High School,0,Near,0,Female,71,1,0,1,1,1,0,False
22,93,Medium,High,Yes,True,6,69,High,Yes,True,0,High,Low,False,True,Negative,3,Yes,High School,0,Near,0,Male,69,1,2,2,2,0,-1,True
19,75,High,Medium,No,False,8,98,Low,Yes,True,1,Low,Medium,False,True,Neutral,3,No,Postgraduate,2,Moderate,1,Male,67,2,1,0,0,1,0,False
24,84,Low,Medium,Yes,True,7,52,Medium,Yes,True,0,Low,High,False,True,Neutral,3,No,High School,0,Near,0,Male,66,0,1,1,0,2,0,False
31,89,Medium,Medium,No,False,7,70,Medium,Yes,True,2,Low,High,False,True,Positive,2,No,High School,0,Moderate,1,Female,71,1,1,1,0,2,1,False
19,70,Medium,Low,Yes,True,9,86,Low,Yes,True,2,High,Medium,False,True,Neutral,2,Yes,High School,0,Near,0,Male,63,1,0,0,2,1,0,True
14,67,Medium,Low,No,False,4,71,Medium,Yes,True,0,High,Medium,False,True,Neutral,4,No,College,1,Near,0,Female,62,1,0,1,2,1,0,False
27,99,Medium,High,No,False,5,63,Medium,Yes,True,0,Medium,High,False,True,Neutral,4,No,High School,0,Near,0,Female,73,1,2,1,1,2,0,False
19,85,High,Medium,No,False,4,71,Low,Yes,True,1,Medium,High,False,True,Negative,3,No,High School,0,Far,2,Female,66,2,1,0,1,2,-1,False
7,99,High,Medium,Yes,True,9,94,Medium,Yes,True,3,High,High,False,True,Positive,2,No,Postgraduate,2,Moderate,1,Male,72,2,1,1,2,2,1,False
25,74,High,Low,Yes,True,8,77,Low,Yes,True,1,Low,Medium,False,True,Neutral,2,No,Postgraduate,2,Moderate,1,Female,67,2,0,0,0,1,0,False
17,88,Low,Low,No,False,5,67,Medium,No,False,0,Medium,High,False,True,Neutral,3,No,Postgraduate,2,Near,0,Male,65,0,0,1,1,2,0,False
19,69,Medium,Medium,Yes,True,7,84,Medium,Yes,True,2,Medium,Medium,False,True,Neutral,4,No,High School,0,Near,0,Male,66,1,1,1,1,1,0,False
22,70,High,Medium,Yes,True,7,81,Low,Yes,True,3,Medium,Medium,False,True,Neutral,2,No,Postgraduate,2,Moderate,1,Female,68,2,1,0,1,1,0,False
21,80,Medium,High,Yes,True,4,78,Medium,Yes,True,1,Medium,High,True,False,Neutral,4,No,High School,0,Near,0,Female,69,1,2,1,1,2,0,False
24,73,High,Medium,Yes,True,7,70,Medium,Yes,True,0,High,Medium,False,True,Negative,3,No,Postgraduate,2,Near,0,Female,68,2,1,1,2,1,-1,False
17,67,Medium,High,Yes,True,5,54,Medium,Yes,True,0,Low,Medium,False,True,Negative,2,No,High School,0,Moderate,1,Male,61,1,2,1,0,1,-1,False
23,71,High,Low,Yes,True,8,81,Medium,Yes,True,3,Medium,High,True,False,Positive,2,No,High School,0,Near,0,Male,68,2,0,1,1,2,1,False
18,61,High,Low,Yes,True,5,71,Low,Yes,True,3,High,High,True,False,Neutral,3,No,College,1,Near,0,Male,64,2,0,0,2,2,0,False
24,88,Medium,Low,Yes,True,7,71,Low,No,False,1,Low,High,False,True,Neutral,3,No,College,1,Moderate,1,Male,67,1,0,0,0,2,0,False
24,80,Low,High,Yes,True,9,62,High,Yes,True,3,High,Low,False,True,Neutral,3,No,High School,0,Moderate,1,Male,68,0,2,2,2,0,0,False
14,64,Medium,High,No,False,8,62,Low,Yes,True,1,Medium,High,False,True,Positive,4,Yes,High School,0,Moderate,1,Male,61,1,2,0,1,2,1,True
27,67,High,Low,No,False,8,89,Low,Yes,True,1,Low,Low,False,True,Positive,3,No,Postgraduate,2,Near,0,Female,66,2,0,0,0,0,1,False
17,64,High,Low,Yes,True,7,74,Low,Yes,True,2,Medium,Low,False,True,Positive,2,No,Postgraduate,2,Near,0,Female,64,2,0,0,1,0,1,False
25,85,Low,Medium,No,False,5,55,Low,Yes,True,3,High,Medium,False,True,Negative,3,No,High School,0,Moderate,1,Female,67,0,1,0,2,1,-1,False
22,64,Medium,High,No,False,6,52,Low,Yes,True,2,High,Medium,True,False,Negative,4,No,College,1,Moderate,1,Female,64,1,2,0,2,1,-1,False
31,90,High,High,No,False,7,61,Low,Yes,True,0,Low,Medium,False,True,Positive,3,No,High School,0,Near,0,Male,72,2,2,0,0,1,1,False
19,61,Medium,Medium,No,False,7,74,Low,Yes,True,2,High,Medium,False,True,Negative,3,No,Postgraduate,2,Far,2,Male,62,1,1,0,2,1,-1,False
18,70,High,Medium,Yes,True,5,81,Low,Yes,True,2,Low,Medium,True,False,Negative,2,No,High School,0,Far,2,Female,63,2,1,0,0,1,-1,False
20,96,High,High,No,False,8,57,Low,Yes,True,1,Low,Medium,True,False,Neutral,4,No,High School,0,Near,0,Male,70,2,2,0,0,1,0,False
18,89,High,Medium,No,False,5,72,Low,Yes,True,3,Medium,Medium,False,True,Positive,3,No,College,1,Moderate,1,Male,69,2,1,0,1,1,1,False
25,63,Low,Medium,Yes,True,9,54,Medium,Yes,True,3,Medium,Low,False,True,Positive,2,No,High School,0,Near,0,Male,64,0,1,1,1,0,1,False
10,93,Low,Medium,No,False,7,52,Medium,Yes,True,2,Medium,Medium,False,True,Positive,3,No,Postgraduate,2,Near,0,Male,66,0,1,1,1,1,1,False
14,80,Low,Medium,Yes,True,8,93,Medium,Yes,True,3,Low,High,True,False,Positive,4,No,High School,0,Near,0,Female,67,0,1,1,0,2,1,False
14,94,High,High,Yes,True,8,83,Medium,Yes,True,4,Medium,Low,False,True,Negative,5,Yes,Postgraduate,2,Near,0,Female,71,2,2,1,1,0,-1,True
26,84,Medium,High,Yes,True,10,89,Medium,Yes,True,0,Low,High,True,False,Positive,1,No,High School,0,Far,2,Female,70,1,2,1,0,2,1,False
30,87,Low,Medium,No,False,7,59,Medium,Yes,True,2,Medium,Medium,False,True,Neutral,3,No,High School,0,Moderate,1,Male,69,0,1,1,1,1,0,False
19,69,Medium,High,Yes,True,6,72,Medium,No,False,1,Low,Medium,False,True,Neutral,1,No,College,1,Near,0,Female,64,1,2,1,0,1,0,False
20,85,High,Medium,Yes,True,9,83,Low,Yes,True,3,Medium,Medium,False,True,Positive,3,Yes,College,1,Near,0,Male,70,2,1,0,1,1,1,True
27,78,High,Low,Yes,True,5,77,Medium,Yes,True,0,Medium,Low,True,False,Neutral,3,No,Postgraduate,2,Near,0,Male,69,2,0,1,1,0,0,False
21,61,Low,Medium,No,False,7,58,Medium,Yes,True,1,Medium,Low,False,True,Negative,3,No,High School,0,Near,0,Female,60,0,1,1,1,0,-1,False
26,65,High,Low,No,False,7,74,Medium,Yes,True,2,Low,Medium,False,True,Negative,4,No,High School,0,Near,0,Female,65,2,0,1,0,1,-1,False
23,86,Medium,Medium,No,False,8,91,Medium,Yes,True,0,Low,Medium,False,True,Negative,0,No,High School,0,Near,0,Male,67,1,1,1,0,1,-1,False
21,83,Medium,Low,No,False,5,75,Low,Yes,True,1,Medium,Medium,False,True,Negative,4,No,College,1,Near,0,Male,66,1,0,0,1,1,-1,False
26,82,Low,High,No,False,7,60,Medium,No,False,3,Low,Medium,False,True,Neutral,3,No,Postgraduate,2,Near,0,Female,68,0,2,1,0,1,0,False
4,61,Low,High,Yes,True,7,71,High,Yes,True,0,Low,Low,False,True,Positive,1,No,Postgraduate,2,Near,0,Male,58,0,2,2,0,0,1,False
24,79,Low,High,Yes,True,5,88,Medium,Yes,True,0,Medium,Medium,False,True,Neutral,3,No,High School,0,Moderate,1,Female,67,0,2,1,1,1,0,False
9,76,Medium,Medium,Yes,True,7,79,Medium,Yes,True,1,Low,Medium,False,True,Neutral,3,No,High School,0,Near,0,Female,62,1,1,1,0,1,0,False
23,85,Low,High,No,False,7,98,High,No,False,2,Low,Medium,False,True,Negative,3,No,Postgraduate,2,Moderate,1,Female,69,0,2,2,0,1,-1,False
28,91,Medium,High,Yes,True,6,69,High,Yes,True,1,Medium,High,True,False,Neutral,4,No,High School,0,Far,2,Male,73,1,2,2,1,2,0,False
19,91,High,Low,No,False,6,52,Medium,Yes,True,2,Low,Medium,False,True,Negative,4,Yes,High School,0,Moderate,1,Male,66,2,0,1,0,1,-1,True
26,81,Low,Medium,Yes,True,5,82,Medium,Yes,True,0,Medium,Medium,False,True,Negative,5,Yes,Postgraduate,2,Near,0,Female,67,0,1,1,1,1,-1,True
30,94,Medium,Medium,No,False,8,52,Medium,Yes,True,1,Medium,Low,False,True,Neutral,4,No,High School,0,Near,0,Female,71,1,1,1,1,0,0,False
28,76,Medium,Medium,Yes,True,9,60,Medium,Yes,True,1,Low,Medium,False,True,Neutral,2,No,High School,0,Far,2,Male,66,1,1,1,0,1,0,False
30,96,High,Medium,Yes,True,10,52,Medium,Yes,True,0,High,High,False,True,Positive,4,No,College,1,Moderate,1,Female,74,2,1,1,2,2,1,False
24,70,Medium,High,No,False,8,59,Low,Yes,True,2,Low,High,False,True,Positive,5,No,High School,0,Near,0,Male,67,1,2,0,0,2,1,False
20,71,High,Medium,No,False,6,93,High,Yes,True,2,Medium,High,False,True,Negative,2,No,Postgraduate,2,Near,0,Male,68,2,1,2,1,2,-1,False
10,62,Medium,Medium,No,False,6,87,High,Yes,True,2,Low,High,False,True,Neutral,3,No,High School,0,Near,0,Male,61,1,1,2,0,2,0,False
15,77,Low,Medium,Yes,True,7,95,Low,Yes,True,4,Low,Medium,False,True,Positive,4,No,High School,0,Moderate,1,Male,65,0,1,0,0,1,1,False
33,69,Medium,High,Yes,True,7,83,Medium,Yes,True,2,Medium,Low,False,True,Neutral,2,No,Postgraduate,2,Near,0,Male,71,1,2,1,1,0,0,False
19,69,Medium,Low,No,False,7,72,Medium,Yes,True,1,Low,Low,False,True,Positive,2,No,High School,0,Far,2,Female,61,1,0,1,0,0,1,False
21,96,Medium,High,Yes,True,9,53,Medium,Yes,True,0,Low,High,False,True,Neutral,3,No,College,1,Near,0,Male,70,1,2,1,0,2,0,False
23,93,Medium,Low,No,False,6,87,Medium,Yes,True,2,Medium,Medium,True,False,Neutral,3,No,High School,0,Moderate,1,Male,70,1,0,1,1,1,0,False
20,82,Medium,High,Yes,True,9,69,Low,Yes,True,1,Medium,Medium,False,True,Positive,3,No,College,1,Near,0,Male,69,1,2,0,1,1,1,False
30,85,High,Low,Yes,True,7,65,High,Yes,True,2,Low,Medium,False,True,Negative,3,No,High School,0,Near,0,Female,70,2,0,2,0,1,-1,False
16,79,High,Medium,Yes,True,6,64,Medium,Yes,True,4,Low,Low,False,True,Positive,4,Yes,College,1,Near,0,Male,67,2,1,1,0,0,1,True
21,76,Low,Medium,No,False,6,50,Low,Yes,True,2,Low,Medium,False,True,Negative,4,No,Postgraduate,2,Moderate,1,Female,63,0,1,0,0,1,-1,False
16,97,Medium,Medium,No,False,7,87,Medium,Yes,True,1,High,Medium,False,True,Neutral,3,No,High School,0,Near,0,Female,70,1,1,1,2,1,0,False
12,65,Medium,Medium,No,False,8,57,Medium,Yes,True,1,High,High,True,False,Positive,5,Yes,High School,0,Near,0,Female,61,1,1,1,2,2,1,True
16,77,Low,High,Yes,True,6,76,Low,Yes,True,1,Low,Medium,False,True,Neutral,1,No,Postgraduate,2,Moderate,1,Female,64,0,2,0,0,1,0,False
20,74,Medium,Medium,Yes,True,8,51,High,Yes,True,2,Medium,Medium,False,True,Negative,3,No,College,1,Near,0,Male,65,1,1,2,1,1,-1,False
17,80,Medium,Medium,No,False,6,81,Medium,Yes,True,1,Medium,High,False,True,Neutral,1,No,College,1,Far,2,Male,65,1,1,1,1,2,0,False
16,78,Medium,Low,Yes,True,7,68,High,Yes,True,3,Low,High,True,False,Positive,3,No,Postgraduate,2,Far,2,Female,66,1,0,2,0,2,1,False
12,81,High,High,Yes,True,5,82,Low,Yes,True,1,Medium,High,False,True,Positive,3,No,High School,0,Far,2,Female,66,2,2,0,1,2,1,False
20,66,Low,Medium,Yes,True,8,54,Medium,Yes,True,2,Medium,Low,False,True,Positive,2,No,Postgraduate,2,Near,0,Male,63,0,1,1,1,0,1,False
11,81,Low,High,Yes,True,7,63,Medium,Yes,True,3,Medium,Medium,False,True,Neutral,2,No,Postgraduate,2,Near,0,Male,66,0,2,1,1,1,0,False
25,70,Medium,Medium,Yes,True,9,56,High,Yes,True,0,Low,Medium,False,True,Positive,1,No,High School,0,Far,2,Male,64,1,1,2,0,1,1,False
20,67,High,Low,No,False,8,82,Medium,Yes,True,3,Low,High,False,True,Neutral,4,Yes,High School,0,Near,0,Male,65,2,0,1,0,2,0,True
11,63,High,Medium,No,False,7,55,Low,Yes,True,3,High,Medium,True,False,Positive,1,No,Postgraduate,2,Near,0,Male,62,2,1,0,2,1,1,False
18,91,Low,High,Yes,True,9,81,High,Yes,True,4,High,Medium,False,True,Neutral,5,No,High School,0,Moderate,1,Male,71,0,2,2,2,1,0,False
15,77,Medium,Medium,Yes,True,8,57,Low,Yes,True,1,Low,Medium,False,True,Neutral,2,No,College,1,Near,0,Male,63,1,1,0,0,1,0,False
22,85,Medium,High,No,False,9,97,High,Yes,True,0,Medium,High,False,True,Negative,3,No,College,1,Moderate,1,Male,70,1,2,2,1,2,-1,False
28,89,Medium,Low,Yes,True,6,71,Low,Yes,True,2,Low,Medium,True,False,Neutral,4,No,College,1,Moderate,1,Male,70,1,0,0,0,1,0,False
9,87,Medium,Medium,No,False,8,56,Medium,Yes,True,1,Medium,High,False,True,Positive,3,No,College,1,Moderate,1,Female,65,1,1,1,1,2,1,False
19,76,Medium,Low,Yes,True,5,66,Medium,Yes,True,2,Medium,Medium,True,False,Positive,4,No,College,1,Near,0,Female,66,1,0,1,1,1,1,False
24,75,Medium,Low,No,False,9,95,High,Yes,True,0,Medium,High,False,True,Positive,2,No,College,1,Near,0,Male,68,1,0,2,1,2,1,False
21,86,High,High,No,False,5,57,Medium,Yes,True,1,Low,Medium,True,False,Negative,3,No,High School,0,Near,0,Male,68,2,2,1,0,1,-1,False
15,80,High,Medium,Yes,True,5,90,Medium,Yes,True,4,Medium,High,True,False,Neutral,3,No,High School,0,Near,0,Female,69,2,1,1,1,2,0,False
18,94,Medium,Medium,Yes,True,4,71,Medium,Yes,True,3,High,Low,False,True,Positive,3,No,College,1,Near,0,Female,71,1,1,1,2,0,1,False
26,67,Medium,High,Yes,True,5,94,Medium,Yes,True,0,Medium,Medium,False,True,Positive,2,No,College,1,Near,0,Male,68,1,2,1,1,1,1,False
20,65,Medium,High,Yes,True,6,100,Medium,Yes,True,2,Low,High,False,True,Neutral,5,No,High School,0,Moderate,1,Male,67,1,2,1,0,2,0,False
31,85,High,Medium,No,False,8,53,Medium,Yes,True,2,Low,High,False,True,Positive,3,No,High School,0,Near,0,Male,72,2,1,1,0,2,1,False
20,72,High,Medium,Yes,True,7,90,High,Yes,True,2,Medium,Medium,False,True,Neutral,3,No,High School,0,Near,0,Male,68,2,1,2,1,1,0,False
16,61,High,Medium,Yes,True,6,53,Low,Yes,True,0,High,Medium,False,True,Positive,4,Yes,High School,0,Moderate,1,Female,60,2,1,0,2,1,1,True
11,96,Medium,High,No,False,5,66,High,Yes,True,2,Low,Medium,False,True,Neutral,4,No,High School,0,Moderate,1,Male,68,1,2,2,0,1,0,False
9,69,High,Medium,Yes,True,7,82,High,Yes,True,1,High,High,False,True,Positive,2,No,High School,0,Near,0,Female,65,2,1,2,2,2,1,False
10,97,Low,High,No,False,8,72,High,Yes,True,0,Low,Medium,False,True,Neutral,3,No,Postgraduate,2,Moderate,1,Female,67,0,2,2,0,1,0,False
22,89,Low,Medium,No,False,8,78,Low,Yes,True,4,High,Medium,True,False,Positive,3,No,High School,0,Near,0,Female,70,0,1,0,2,1,1,False
23,91,Medium,Low,Yes,True,10,98,High,Yes,True,0,Low,High,True,False,Negative,3,No,High School,0,Near,0,Female,70,1,0,2,0,2,-1,False
11,68,Medium,Medium,No,False,6,91,Low,Yes,True,3,Low,High,False,True,Negative,2,No,College,1,Far,2,Female,61,1,1,0,0,2,-1,False
25,69,High,Low,Yes,True,5,68,Medium,Yes,True,2,High,High,False,True,Positive,4,No,College,1,Far,2,Male,68,2,0,1,2,2,1,False
17,81,Medium,High,No,False,7,80,High,Yes,True,1,Low,Medium,False,True,Negative,3,No,Postgraduate,2,Near,0,Female,67,1,2,2,0,1,-1,False
21,67,Medium,High,No,False,7,52,Medium,Yes,True,3,Low,Medium,False,True,Negative,3,Yes,High School,0,Moderate,1,Female,62,1,2,1,0,1,-1,True
30,72,Medium,Low,No,False,7,73,Medium,Yes,True,0,High,Medium,False,True,Neutral,4,No,High School,0,Moderate,1,Male,66,1,0,1,2,1,0,False
25,73,High,Medium,Yes,True,6,80,Medium,Yes,True,3,High,Medium,False,True,Positive,2,No,High School,0,Far,2,Female,69,2,1,1,2,1,1,False
18,66,Medium,High,Yes,True,4,86,Medium,Yes,True,2,Medium,Medium,False,True,Negative,4,No,College,1,Near,0,Female,66,1,2,1,1,1,-1,False
15,68,Medium,Medium,Yes,True,5,95,Medium,Yes,True,0,High,Medium,False,True,Negative,5,No,College,1,Near,0,Female,64,1,1,1,2,1,-1,False
7,92,High,Medium,No,False,8,64,High,Yes,True,1,Low,Low,False,True,Neutral,4,No,Postgraduate,2,Near,0,Male,66,2,1,2,0,0,0,False
16,67,Medium,Medium,No,False,7,95,Low,Yes,True,2,Medium,Medium,False,True,Neutral,5,Yes,High School,0,Near,0,Male,63,1,1,0,1,1,0,True
19,61,Low,High,Yes,True,8,83,Low,Yes,True,1,Medium,Medium,True,False,Negative,3,No,High School,0,Near,0,Male,62,0,2,0,1,1,-1,False
14,85,Medium,Medium,Yes,True,8,54,Low,Yes,True,1,High,Medium,True,False,Negative,4,No,Postgraduate,2,Moderate,1,Male,65,1,1,0,2,1,-1,False
19,99,Low,High,No,False,8,69,Low,Yes,True,0,High,Medium,True,False,Negative,2,No,High School,0,Moderate,1,Male,68,0,2,0,2,1,-1,False
20,73,High,High,Yes,True,8,74,Low,Yes,True,1,Low,Low,True,False,Negative,4,No,High School,0,Moderate,1,Male,65,2,2,0,0,0,-1,False
19,65,Medium,High,Yes,True,7,68,Low,Yes,True,1,Low,Low,False,True,Neutral,4,No,College,1,Near,0,Female,63,1,2,0,0,0,0,False
16,83,High,High,Yes,True,7,56,Medium,Yes,True,3,Medium,Medium,False,True,Negative,2,No,High School,0,Near,0,Male,68,2,2,1,1,1,-1,False
21,96,Medium,High,Yes,True,4,78,Low,Yes,True,2,High,Medium,True,False,Positive,2,No,High School,0,Near,0,Male,72,1,2,0,2,1,1,False
23,91,High,Low,No,False,6,57,Medium,Yes,True,2,Low,Medium,True,False,Positive,3,No,High School,0,Near,0,Male,69,2,0,1,0,1,1,False
13,85,Low,Medium,No,False,6,96,Low,Yes,True,1,Low,High,False,True,Positive,5,No,Postgraduate,2,Far,2,Male,66,0,1,0,0,2,1,False
28,73,Low,Low,Yes,True,7,93,High,Yes,True,2,Low,High,True,False,Neutral,3,No,College,1,Near,0,Male,68,0,0,2,0,2,0,False
19,82,Low,Low,No,False,6,74,Medium,Yes,True,1,Medium,High,False,True,Neutral,2,No,High School,0,Moderate,1,Male,64,0,0,1,1,2,0,False
20,64,Medium,Low,Yes,True,8,53,Low,Yes,True,1,Low,Medium,False,True,Positive,2,No,High School,0,Near,0,Male,61,1,0,0,0,1,1,False
24,87,Low,Medium,No,False,6,78,High,Yes,True,0,Low,Low,False,True,Neutral,2,Yes,Postgraduate,2,Near,0,Male,67,0,1,2,0,0,0,True
21,89,Medium,Low,Yes,True,9,80,Medium,Yes,True,0,Medium,Low,False,True,Neutral,3,No,Postgraduate,2,Moderate,1,Male,68,1,0,1,1,0,0,False
26,99,Medium,Medium,No,False,6,94,High,Yes,True,2,Medium,Medium,False,True,Positive,3,No,High School,0,Near,0,Male,74,1,1,2,1,1,1,False
22,70,Medium,High,Yes,True,6,53,Medium,Yes,True,3,Medium,High,False,True,Positive,2,No,High School,0,Near,0,Female,67,1,2,1,1,2,1,False
16,61,Medium,High,Yes,True,6,85,Medium,Yes,True,2,Medium,Medium,True,False,Positive,3,No,High School,0,Near,0,Male,64,1,2,1,1,1,1,False
22,82,Low,High,No,False,6,78,Medium,Yes,True,3,Medium,High,False,True,Neutral,3,No,High School,0,Moderate,1,Male,69,0,2,1,1,2,0,False
